GMT Time Correction = -14400
Lg00 (Basic Log) Log:
Rec #,Date ,Time,  Pressure [dBars],    LightIntensity,       IntTemp [C],       ExtTemp [C],      C_TooDimFlag,     Valid Flag
    375,2/23/2022, 21:02:30,            -19.38,                 1,             25.82,             27.46,                 1,              1
    376,2/23/2022, 21:02:40,            -19.38,                 1,             25.82,             27.46,                 1,              1
    377,2/23/2022, 21:02:50,            -19.38,                 1,             25.82,             27.46,                 1,              1
    378,2/23/2022, 21:03:00,            -18.38,                 1,             25.82,             27.46,                 1,              1
    379,2/23/2022, 21:03:10,            -19.38,                 1,             25.82,             27.46,                 1,              1
    380,2/23/2022, 21:03:20,            -18.38,                 1,             25.82,             27.46,                 1,              1
    381,2/23/2022, 21:03:30,            -18.38,                 1,             25.82,             27.46,                 1,              1
    382,2/23/2022, 21:03:40,            -19.38,                 1,             25.82,             27.46,                 1,              1
    383,2/23/2022, 21:03:50,            -19.38,                 1,             25.82,             27.46,                 1,              1
    384,2/23/2022, 21:04:00,            -17.38,                 1,             25.82,             27.46,                 1,              1
    385,2/23/2022, 21:04:10,            -18.38,                 1,             25.82,             27.46,                 1,              1
    386,2/23/2022, 21:04:20,            -19.38,                 1,             25.82,             27.46,                 1,              1
    387,2/23/2022, 21:04:30,            -18.38,                 1,             25.82,             27.46,                 1,              1
    388,2/23/2022, 21:04:40,            -19.38,                 1,             25.82,             27.46,                 1,              1
    389,2/23/2022, 21:04:50,            -19.38,                 1,             25.82,             27.48,                 1,              1
    390,2/23/2022, 21:05:00,            -19.38,                 1,             25.84,             27.48,                 1,              1
    391,2/23/2022, 21:05:10,            -19.38,                 1,             25.84,             27.46,                 1,              1
    392,2/23/2022, 21:05:20,            -18.38,                 1,             25.84,             27.48,                 1,              1
    393,2/23/2022, 21:05:30,            -19.38,                 1,             25.84,             27.46,                 1,              1
    394,2/23/2022, 21:05:40,            -19.38,                 1,             25.84,             27.46,                 1,              1
    395,2/23/2022, 21:05:50,            -18.38,                 1,             25.84,             27.46,                 1,              1
    396,2/23/2022, 21:06:00,            -19.38,                 1,             25.84,             27.48,                 1,              1
    397,2/23/2022, 21:06:10,            -18.38,                 1,             25.84,             27.46,                 1,              1
    398,2/23/2022, 21:06:20,            -18.38,                 1,             25.84,             27.48,                 1,              1
    399,2/23/2022, 21:06:30,            -19.38,                 1,             25.84,             27.48,                 1,              1
    400,2/23/2022, 21:06:40,            -19.38,                 1,             25.84,             27.48,                 1,              1
    401,2/23/2022, 21:06:50,            -19.38,                 1,             25.84,             27.48,                 1,              1
    402,2/23/2022, 21:07:00,            -18.38,                 1,             25.84,             27.48,                 1,              1
    403,2/23/2022, 21:07:10,            -18.38,                 1,             25.86,             27.48,                 1,              1
    404,2/23/2022, 21:07:20,            -18.38,                 1,             25.86,             27.48,                 1,              1
    405,2/23/2022, 21:07:30,            -18.38,                 1,             25.86,             27.48,                 1,              1
    406,2/23/2022, 21:07:40,            -19.38,                 1,             25.86,             27.48,                 1,              1
    407,2/23/2022, 21:07:50,            -18.38,                 1,             25.86,             27.48,                 1,              1
    408,2/23/2022, 21:08:00,            -19.38,                 1,             25.86,             27.48,                 1,              1
    409,2/23/2022, 21:08:10,            -19.38,                 1,             25.86,             27.48,                 1,              1
    410,2/23/2022, 21:08:20,            -18.38,                 1,             25.86,             27.48,                 1,              1
    411,2/23/2022, 21:08:30,            -19.38,                 1,             25.86,             27.48,                 1,              1
    412,2/23/2022, 21:08:40,            -18.38,                 1,             25.86,             27.48,                 1,              1
    413,2/23/2022, 21:08:50,            -18.38,                 1,             25.86,             27.48,                 1,              1
    414,2/23/2022, 21:09:00,            -18.38,                 1,             25.86,             27.48,                 1,              1
    415,2/23/2022, 21:09:10,            -19.38,                 1,             25.86,             27.48,                 1,              1
    416,2/23/2022, 21:09:20,            -18.38,                 1,             25.86,             27.48,                 1,              1
    417,2/23/2022, 21:09:30,            -18.38,                 1,             25.86,             27.48,                 1,              1
    418,2/23/2022, 21:09:40,            -18.38,                 1,             25.86,             27.48,                 1,              1
    419,2/23/2022, 21:09:50,            -19.38,                 1,             25.88,             27.48,                 1,              1
    420,2/23/2022, 21:10:00,            -19.38,                 1,             25.88,             27.48,                 1,              1
    421,2/23/2022, 21:10:10,            -19.38,                 1,             25.88,             27.48,                 1,              1
    422,2/23/2022, 21:10:20,            -19.38,                 1,             25.88,             27.48,                 1,              1
    423,2/23/2022, 21:10:30,            -19.38,                 1,             25.88,             27.48,                 1,              1
    424,2/23/2022, 21:10:40,            -19.38,                 1,             25.88,             27.48,                 1,              1
    425,2/23/2022, 21:10:50,            -19.38,                 1,             25.88,             27.48,                 1,              1
    426,2/23/2022, 21:11:00,            -19.38,                 1,             25.88,             27.48,                 1,              1
    427,2/23/2022, 21:11:10,            -19.38,                 1,             25.88,             27.48,                 1,              1
    428,2/23/2022, 21:11:20,            -19.38,                 1,             25.88,             27.48,                 1,              1
    429,2/23/2022, 21:11:30,            -18.38,                 1,             25.88,             27.48,                 1,              1
    430,2/23/2022, 21:11:40,            -19.38,                 1,             25.88,             27.48,                 1,              1
    431,2/23/2022, 21:11:50,            -19.38,                 1,             25.88,             27.48,                 1,              1
    432,2/23/2022, 21:12:00,            -19.38,                 1,             25.88,             27.48,                 1,              1
    433,2/23/2022, 21:12:10,            -19.38,                 1,             25.88,             27.48,                 1,              1
    434,2/23/2022, 21:12:20,            -19.38,                 1,             25.90,             27.48,                 1,              1
    435,2/23/2022, 21:12:30,            -19.38,                 1,             25.90,             27.48,                 1,              1
    436,2/23/2022, 21:12:40,            -19.38,                 1,             25.90,             27.48,                 1,              1
    437,2/23/2022, 21:12:50,            -19.38,                 1,             25.90,             27.48,                 1,              1
    438,2/23/2022, 21:13:00,            -19.38,                 1,             25.90,             27.48,                 1,              1
    439,2/23/2022, 21:13:10,            -19.38,                 1,             25.90,             27.48,                 1,              1
    440,2/23/2022, 21:13:20,            -19.38,                 1,             25.90,             27.48,                 1,              1
    441,2/23/2022, 21:13:30,            -19.38,                 1,             25.90,             27.48,                 1,              1
    442,2/23/2022, 21:13:40,            -18.38,                 1,             25.90,             27.48,                 1,              1
    443,2/23/2022, 21:13:50,            -19.38,                 1,             25.90,             27.48,                 1,              1
    444,2/23/2022, 21:14:00,            -19.38,                 1,             25.90,             27.50,                 1,              1
    445,2/23/2022, 21:14:10,            -19.38,                 1,             25.90,             27.48,                 1,              1
    446,2/23/2022, 21:14:20,            -19.38,                 1,             25.90,             27.48,                 1,              1
    447,2/23/2022, 21:14:30,            -19.38,                 1,             25.90,             27.50,                 1,              1
    448,2/23/2022, 21:14:40,            -19.38,                 1,             25.90,             27.50,                 1,              1
    449,2/23/2022, 21:14:50,            -19.38,                 1,             25.90,             27.50,                 1,              1
    450,2/23/2022, 21:15:00,            -19.38,                 1,             25.90,             27.48,                 1,              1
    451,2/23/2022, 21:15:10,            -19.38,                 1,             25.90,             27.50,                 1,              1
    452,2/23/2022, 21:15:20,            -18.38,                 1,             25.90,             27.50,                 1,              1
    453,2/23/2022, 21:15:30,            -19.38,                 1,             25.94,             27.50,                 1,              1
    454,2/23/2022, 21:15:40,            -19.38,                 1,             25.94,             27.50,                 1,              1
    455,2/23/2022, 21:15:50,            -19.38,                 1,             25.94,             27.50,                 1,              1
    456,2/23/2022, 21:16:00,            -19.38,                 1,             25.94,             27.50,                 1,              1
    457,2/23/2022, 21:16:10,            -19.38,                 1,             25.94,             27.50,                 1,              1
    458,2/23/2022, 21:16:20,            -19.38,                 1,             25.94,             27.50,                 1,              1
    459,2/23/2022, 21:16:30,            -19.38,                 1,             25.94,             27.50,                 1,              1
    460,2/23/2022, 21:16:40,            -19.38,                 1,             25.94,             27.50,                 1,              1
    461,2/23/2022, 21:16:50,            -19.38,                 1,             25.94,             27.50,                 1,              1
    462,2/23/2022, 21:17:00,            -19.38,                 1,             25.94,             27.50,                 1,              1
    463,2/23/2022, 21:17:10,            -20.38,                 1,             25.94,             27.50,                 1,              1
    464,2/23/2022, 21:17:20,            -20.38,                 1,             25.94,             27.50,                 1,              1
    465,2/23/2022, 21:17:30,            -19.38,                 1,             25.94,             27.50,                 1,              1
    466,2/23/2022, 21:17:40,            -19.38,                 1,             25.94,             27.50,                 1,              1
    467,2/23/2022, 21:17:50,            -20.38,                 1,             25.94,             27.50,                 1,              1
    468,2/23/2022, 21:18:00,            -19.38,                 1,             25.94,             27.50,                 1,              1
    469,2/23/2022, 21:18:10,            -20.38,                 1,             25.96,             27.50,                 1,              1
    470,2/23/2022, 21:18:20,            -19.38,                 1,             25.96,             27.50,                 1,              1
    471,2/23/2022, 21:18:30,            -20.38,                 1,             25.96,             27.50,                 1,              1
    472,2/23/2022, 21:18:40,            -19.38,                 1,             25.96,             27.50,                 1,              1
    473,2/23/2022, 21:18:50,            -20.38,                 1,             25.96,             27.50,                 1,              1
    474,2/23/2022, 21:19:00,            -19.38,                 1,             25.96,             27.50,                 1,              1
    475,2/23/2022, 21:19:10,            -19.38,                 1,             25.96,             27.50,                 1,              1
    476,2/23/2022, 21:19:20,            -19.38,                 1,             25.96,             27.50,                 1,              1
    477,2/23/2022, 21:19:30,            -18.38,                 1,             25.96,             27.50,                 1,              1
    478,2/23/2022, 21:19:40,            -20.38,                 1,             25.96,             27.50,                 1,              1
    479,2/23/2022, 21:19:50,            -20.38,                 1,             25.96,             27.50,                 1,              1
    480,2/23/2022, 21:20:00,            -19.38,                 1,             25.96,             27.50,                 1,              1
    481,2/23/2022, 21:20:10,            -18.38,                 1,             25.96,             27.50,                 1,              1
    482,2/23/2022, 21:20:20,            -19.38,                 1,             25.96,             27.50,                 1,              1
    483,2/23/2022, 21:20:30,            -20.38,                 1,             25.96,             27.50,                 1,              1
    484,2/23/2022, 21:20:40,            -20.38,                 1,             25.96,             27.50,                 1,              1
    485,2/23/2022, 21:20:50,            -20.38,                 1,             25.96,             27.50,                 1,              1
    486,2/23/2022, 21:21:00,            -19.38,                 1,             25.98,             27.50,                 1,              1
    487,2/23/2022, 21:21:10,            -19.38,                 1,             25.98,             27.50,                 1,              1
    488,2/23/2022, 21:21:20,            -19.38,                 1,             25.98,             27.50,                 1,              1
    489,2/23/2022, 21:21:30,            -19.38,                 1,             25.98,             27.50,                 1,              1
    490,2/23/2022, 21:21:40,            -19.38,                 1,             25.98,             27.54,                 1,              1
    491,2/23/2022, 21:21:50,            -19.38,                 1,             25.98,             27.54,                 1,              1
    492,2/23/2022, 21:22:00,            -19.38,                 1,             25.98,             27.54,                 1,              1
    493,2/23/2022, 21:22:10,            -19.38,                 1,             25.98,             27.50,                 1,              1
    494,2/23/2022, 21:22:20,            -20.38,                 1,             25.98,             27.54,                 1,              1
    495,2/23/2022, 21:22:30,            -20.38,                 1,             25.98,             27.54,                 1,              1
    496,2/23/2022, 21:22:40,            -18.38,                 1,             25.98,             27.54,                 1,              1
    497,2/23/2022, 21:22:50,            -19.38,                 1,             25.98,             27.54,                 1,              1
    498,2/23/2022, 21:23:00,            -20.38,                 1,             25.98,             27.54,                 1,              1
    499,2/23/2022, 21:23:10,            -19.38,                 1,             25.98,             27.54,                 1,              1
    500,2/23/2022, 21:23:20,            -19.38,                 1,             25.98,             27.54,                 1,              1
    501,2/23/2022, 21:23:30,            -20.38,                 1,             25.98,             27.54,                 1,              1
    502,2/23/2022, 21:23:40,            -19.38,                 1,             26.00,             27.54,                 1,              1
    503,2/23/2022, 21:23:50,            -19.38,                 1,             25.98,             27.54,                 1,              1
    504,2/23/2022, 21:24:00,            -20.38,                 1,             26.00,             27.54,                 1,              1
    505,2/23/2022, 21:24:10,            -20.38,                 1,             26.00,             27.54,                 1,              1
    506,2/23/2022, 21:24:20,            -19.38,                 1,             26.00,             27.54,                 1,              1
    507,2/23/2022, 21:24:30,            -20.38,                 1,             26.00,             27.54,                 1,              1
    508,2/23/2022, 21:24:40,            -19.38,                 1,             26.00,             27.54,                 1,              1
    509,2/23/2022, 21:24:50,            -20.38,                 1,             26.00,             27.54,                 1,              1
    510,2/23/2022, 21:25:00,            -19.38,                 1,             26.00,             27.54,                 1,              1
    511,2/23/2022, 21:25:10,            -19.38,                 1,             26.00,             27.54,                 1,              1
    512,2/23/2022, 21:25:20,            -20.38,                 1,             26.00,             27.54,                 1,              1
    513,2/23/2022, 21:25:30,            -19.38,                 1,             26.00,             27.54,                 1,              1
    514,2/23/2022, 21:25:40,            -20.38,                 1,             26.00,             27.54,                 1,              1
    515,2/23/2022, 21:25:50,            -20.38,                 1,             26.00,             27.54,                 1,              1
    516,2/23/2022, 21:26:00,            -20.38,                 1,             26.00,             27.54,                 1,              1
    517,2/23/2022, 21:26:10,            -19.38,                 1,             26.00,             27.54,                 1,              1
    518,2/23/2022, 21:26:20,            -19.38,                 1,             26.00,             27.54,                 1,              1
    519,2/23/2022, 21:26:30,            -19.38,                 1,             26.00,             27.54,                 1,              1
    520,2/23/2022, 21:26:40,            -19.38,                 1,             26.00,             27.54,                 1,              1
    521,2/23/2022, 21:26:50,            -19.38,                 1,             26.00,             27.54,                 1,              1
    522,2/23/2022, 21:27:00,            -19.38,                 1,             26.00,             27.54,                 1,              1
    523,2/23/2022, 21:27:10,            -19.38,                 1,             26.00,             27.54,                 1,              1
    524,2/23/2022, 21:27:20,            -19.38,                 1,             26.02,             27.54,                 1,              1
    525,2/23/2022, 21:27:30,            -20.38,                 1,             26.02,             27.54,                 1,              1
    526,2/23/2022, 21:27:40,            -20.38,                 1,             26.02,             27.54,                 1,              1
    527,2/23/2022, 21:27:50,            -18.38,                 1,             26.02,             27.54,                 1,              1
    528,2/23/2022, 21:28:00,            -19.38,                 1,             26.02,             27.54,                 1,              1
    529,2/23/2022, 21:28:10,            -19.38,                 1,             26.02,             27.54,                 1,              1
    530,2/23/2022, 21:28:20,            -19.38,                 1,             26.02,             27.54,                 1,              1
    531,2/23/2022, 21:28:30,            -19.38,                 1,             26.02,             27.54,                 1,              1
    532,2/23/2022, 21:28:40,            -19.38,                 1,             26.02,             27.54,                 1,              1
    533,2/23/2022, 21:28:50,            -19.38,                 1,             26.02,             27.56,                 1,              1
    534,2/23/2022, 21:29:00,            -19.38,                 1,             26.02,             27.54,                 1,              1
    535,2/23/2022, 21:29:10,            -18.38,                 1,             26.02,             27.54,                 1,              1
    536,2/23/2022, 21:29:20,            -19.38,                 1,             26.02,             27.56,                 1,              1
    537,2/23/2022, 21:29:30,            -19.38,                 1,             26.02,             27.54,                 1,              1
    538,2/23/2022, 21:29:40,            -19.38,                 1,             26.02,             27.54,                 1,              1
    539,2/23/2022, 21:29:50,            -20.38,                 1,             26.02,             27.56,                 1,              1
    540,2/23/2022, 21:30:00,            -19.38,                 1,             26.04,             27.56,                 1,              1
    541,2/23/2022, 21:30:10,            -20.38,                 1,             26.02,             27.56,                 1,              1
    542,2/23/2022, 21:30:20,            -19.38,                 1,             26.04,             27.56,                 1,              1
    543,2/23/2022, 21:30:30,            -20.38,                 1,             26.02,             27.56,                 1,              1
    544,2/23/2022, 21:30:40,            -19.38,                 1,             26.04,             27.56,                 1,              1
    545,2/23/2022, 21:30:50,            -18.38,                 1,             26.04,             27.56,                 1,              1
    546,2/23/2022, 21:31:00,            -19.38,                 1,             26.04,             27.56,                 1,              1
    547,2/23/2022, 21:31:10,            -19.38,                 1,             26.04,             27.56,                 1,              1
    548,2/23/2022, 21:31:20,            -19.38,                 1,             26.04,             27.56,                 1,              1
    549,2/23/2022, 21:31:30,            -20.38,                 1,             26.04,             27.56,                 1,              1
    550,2/23/2022, 21:31:40,            -19.38,                 1,             26.04,             27.56,                 1,              1
    551,2/23/2022, 21:31:50,            -20.38,                 1,             26.04,             27.56,                 1,              1
    552,2/23/2022, 21:32:00,            -19.38,                 1,             26.04,             27.56,                 1,              1
    553,2/23/2022, 21:32:10,            -19.38,                 1,             26.04,             27.56,                 1,              1
    554,2/23/2022, 21:32:20,            -19.38,                 1,             26.04,             27.56,                 1,              1
    555,2/23/2022, 21:32:30,            -19.38,                 1,             26.04,             27.56,                 1,              1
    556,2/23/2022, 21:32:40,            -20.38,                 1,             26.04,             27.56,                 1,              1
    557,2/23/2022, 21:32:50,            -19.38,                 1,             26.06,             27.56,                 1,              1
    558,2/23/2022, 21:33:00,            -19.38,                 1,             26.04,             27.56,                 1,              1
    559,2/23/2022, 21:33:10,            -19.38,                 1,             26.04,             27.56,                 1,              1
    560,2/23/2022, 21:33:20,            -19.38,                 1,             26.06,             27.56,                 1,              1
    561,2/23/2022, 21:33:30,            -18.38,                 1,             26.06,             27.56,                 1,              1
    562,2/23/2022, 21:33:40,            -19.38,                 1,             26.06,             27.56,                 1,              1
    563,2/23/2022, 21:33:50,            -19.38,                 1,             26.06,             27.56,                 1,              1
    564,2/23/2022, 21:34:00,            -19.38,                 1,             26.06,             27.56,                 1,              1
    565,2/23/2022, 21:34:10,            -19.38,                 1,             26.06,             27.56,                 1,              1
    566,2/23/2022, 21:34:20,            -19.38,                 1,             26.06,             27.56,                 1,              1
    567,2/23/2022, 21:34:30,            -20.38,                 1,             26.06,             27.56,                 1,              1
    568,2/23/2022, 21:34:40,            -19.38,                 1,             26.06,             27.56,                 1,              1
    569,2/23/2022, 21:34:50,            -20.38,                 1,             26.06,             27.56,                 1,              1
    570,2/23/2022, 21:35:00,            -19.38,                 1,             26.06,             27.56,                 1,              1
    571,2/23/2022, 21:35:10,            -20.38,                 1,             26.06,             27.56,                 1,              1
    572,2/23/2022, 21:35:20,            -20.38,                 1,             26.06,             27.56,                 1,              1
    573,2/23/2022, 21:35:30,            -18.38,                 1,             26.10,             27.56,                 1,              1
    574,2/23/2022, 21:35:40,            -19.38,                 1,             26.06,             27.56,                 1,              1
    575,2/23/2022, 21:35:50,            -20.38,                 1,             26.06,             27.56,                 1,              1
    576,2/23/2022, 21:36:00,            -19.38,                 1,             26.06,             27.56,                 1,              1
    577,2/23/2022, 21:36:10,            -20.38,                 1,             26.10,             27.56,                 1,              1
    578,2/23/2022, 21:36:20,            -19.38,                 1,             26.10,             27.56,                 1,              1
    579,2/23/2022, 21:36:30,            -19.38,                 1,             26.10,             27.56,                 1,              1
    580,2/23/2022, 21:36:40,            -19.38,                 1,             26.10,             27.56,                 1,              1
    581,2/23/2022, 21:36:50,            -18.38,                 1,             26.10,             27.56,                 1,              1
    582,2/23/2022, 21:37:00,            -19.38,                 1,             26.10,             27.56,                 1,              1
    583,2/23/2022, 21:37:10,            -20.38,                 1,             26.10,             27.56,                 1,              1
    584,2/23/2022, 21:37:20,            -19.38,                 1,             26.10,             27.56,                 1,              1
    585,2/23/2022, 21:37:30,            -19.38,                 1,             26.10,             27.56,                 1,              1
    586,2/23/2022, 21:37:40,            -20.38,                 1,             26.10,             27.58,                 1,              1
    587,2/23/2022, 21:37:50,            -18.38,                 1,             26.10,             27.56,                 1,              1
    588,2/23/2022, 21:38:00,            -20.38,                 1,             26.10,             27.58,                 1,              1
    589,2/23/2022, 21:38:10,            -19.38,                 1,             26.10,             27.56,                 1,              1
    590,2/23/2022, 21:38:20,            -19.38,                 1,             26.10,             27.56,                 1,              1
    591,2/23/2022, 21:38:30,            -20.38,                 1,             26.10,             27.58,                 1,              1
    592,2/23/2022, 21:38:40,            -19.38,                 1,             26.10,             27.56,                 1,              1
    593,2/23/2022, 21:38:50,            -20.38,                 1,             26.10,             27.56,                 1,              1
    594,2/23/2022, 21:39:00,            -19.38,                 1,             26.10,             27.56,                 1,              1
    595,2/23/2022, 21:39:10,            -19.38,                 1,             26.10,             27.58,                 1,              1
    596,2/23/2022, 21:39:20,            -19.38,                 1,             26.10,             27.58,                 1,              1
    597,2/23/2022, 21:39:30,            -19.38,                 1,             26.10,             27.58,                 1,              1
    598,2/23/2022, 21:39:40,            -18.38,                 1,             26.12,             27.58,                 1,              1
    599,2/23/2022, 21:39:50,            -19.38,                 1,             26.12,             27.58,                 1,              1
    600,2/23/2022, 21:40:00,            -20.38,                 1,             26.12,             27.58,                 1,              1
    601,2/23/2022, 21:40:10,            -20.38,                 1,             26.12,             27.58,                 1,              1
    602,2/23/2022, 21:40:20,            -19.38,                 1,             26.12,             27.58,                 1,              1
    603,2/23/2022, 21:40:30,            -19.38,                 1,             26.12,             27.58,                 1,              1
    604,2/23/2022, 21:40:40,            -19.38,                 1,             26.12,             27.58,                 1,              1
    605,2/23/2022, 21:40:50,            -19.38,                 1,             26.12,             27.58,                 1,              1
    606,2/23/2022, 21:41:00,            -19.38,                 1,             26.12,             27.58,                 1,              1
    607,2/23/2022, 21:41:10,            -19.38,                 1,             26.12,             27.58,                 1,              1
    608,2/23/2022, 21:41:20,            -20.38,                 1,             26.12,             27.58,                 1,              1
    609,2/23/2022, 21:41:30,            -19.38,                 1,             26.12,             27.58,                 1,              1
    610,2/23/2022, 21:41:40,            -19.38,                 1,             26.12,             27.58,                 1,              1
    611,2/23/2022, 21:41:50,            -19.38,                 1,             26.12,             27.58,                 1,              1
    612,2/23/2022, 21:42:00,            -19.38,                 1,             26.12,             27.58,                 1,              1
    613,2/23/2022, 21:42:10,            -19.38,                 1,             26.12,             27.58,                 1,              1
    614,2/23/2022, 21:42:20,            -20.38,                 1,             26.12,             27.58,                 1,              1
    615,2/23/2022, 21:42:30,            -19.38,                 1,             26.12,             27.58,                 1,              1
    616,2/23/2022, 21:42:40,            -17.38,                 1,             26.12,             27.58,                 1,              1
    617,2/23/2022, 21:42:50,            -19.38,                 1,             26.14,             27.58,                 1,              1
    618,2/23/2022, 21:43:00,            -19.38,                 1,             26.14,             27.58,                 1,              1
    619,2/23/2022, 21:43:10,            -18.38,                 1,             26.14,             27.58,                 1,              1
    620,2/23/2022, 21:43:20,            -19.38,                 1,             26.14,             27.58,                 1,              1
    621,2/23/2022, 21:43:30,            -19.38,                 1,             26.14,             27.58,                 1,              1
    622,2/23/2022, 21:43:40,            -19.38,                 1,             26.14,             27.58,                 1,              1
    623,2/23/2022, 21:43:50,            -19.38,                 1,             26.14,             27.58,                 1,              1
    624,2/23/2022, 21:44:00,            -18.38,                 1,             26.14,             27.58,                 1,              1
    625,2/23/2022, 21:44:10,            -19.38,                 1,             26.14,             27.58,                 1,              1
    626,2/23/2022, 21:44:20,            -20.38,                 1,             26.14,             27.58,                 1,              1
    627,2/23/2022, 21:44:30,            -19.38,                 1,             26.14,             27.58,                 1,              1
    628,2/23/2022, 21:44:40,            -19.38,                 1,             26.14,             27.58,                 1,              1
    629,2/23/2022, 21:44:50,            -20.38,                 1,             26.14,             27.58,                 1,              1
    630,2/23/2022, 21:45:00,            -19.38,                 1,             26.14,             27.58,                 1,              1
    631,2/23/2022, 21:45:10,            -19.38,                 1,             26.14,             27.58,                 1,              1
    632,2/23/2022, 21:45:20,            -19.38,                 1,             26.14,             27.58,                 1,              1
    633,2/23/2022, 21:45:30,            -19.38,                 1,             26.14,             27.58,                 1,              1
    634,2/23/2022, 21:45:40,            -19.38,                 1,             26.14,             27.58,                 1,              1
    635,2/23/2022, 21:45:50,            -19.38,                 1,             26.16,             27.58,                 1,              1
    636,2/23/2022, 21:46:00,            -19.38,                 1,             26.14,             27.58,                 1,              1
    637,2/23/2022, 21:46:10,            -19.38,                 1,             26.16,             27.58,                 1,              1
    638,2/23/2022, 21:46:20,            -18.38,                 1,             26.16,             27.58,                 1,              1
    639,2/23/2022, 21:46:30,            -19.38,                 1,             26.16,             27.58,                 1,              1
    640,2/23/2022, 21:46:40,            -19.38,                 1,             26.16,             27.58,                 1,              1
    641,2/23/2022, 21:46:50,            -20.38,                 1,             26.16,             27.58,                 1,              1
    642,2/23/2022, 21:47:00,            -19.38,                 1,             26.16,             27.58,                 1,              1
    643,2/23/2022, 21:47:10,            -18.38,                 1,             26.16,             27.58,                 1,              1
    644,2/23/2022, 21:47:20,            -20.38,                 1,             26.16,             27.58,                 1,              1
    645,2/23/2022, 21:47:30,            -19.38,                 1,             26.16,             27.58,                 1,              1
    646,2/23/2022, 21:47:40,            -18.38,                 1,             26.16,             27.58,                 1,              1
    647,2/23/2022, 21:47:50,            -19.38,                 1,             26.16,             27.58,                 1,              1
    648,2/23/2022, 21:48:00,            -19.38,                 1,             26.16,             27.58,                 1,              1
    649,2/23/2022, 21:48:10,            -19.38,                 1,             26.16,             27.58,                 1,              1
    650,2/23/2022, 21:48:20,            -19.38,                 1,             26.16,             27.58,                 1,              1
    651,2/23/2022, 21:48:30,            -18.38,                 1,             26.16,             27.58,                 1,              1
    652,2/23/2022, 21:48:40,            -19.38,                 1,             26.18,             27.58,                 1,              1
    653,2/23/2022, 21:48:50,            -19.38,                 1,             26.16,             27.58,                 1,              1
    654,2/23/2022, 21:49:00,            -19.38,                 1,             26.16,             27.58,                 1,              1
    655,2/23/2022, 21:49:10,            -19.38,                 1,             26.16,             27.60,                 1,              1
    656,2/23/2022, 21:49:20,            -19.38,                 1,             26.18,             27.60,                 1,              1
    657,2/23/2022, 21:49:30,            -19.38,                 1,             26.18,             27.60,                 1,              1
    658,2/23/2022, 21:49:40,            -19.38,                 1,             26.18,             27.60,                 1,              1
    659,2/23/2022, 21:49:50,            -20.38,                 1,             26.18,             27.60,                 1,              1
    660,2/23/2022, 21:50:00,            -18.38,                 1,             26.18,             27.60,                 1,              1
    661,2/23/2022, 21:50:10,            -19.38,                 1,             26.18,             27.58,                 1,              1
    662,2/23/2022, 21:50:20,            -20.38,                 1,             26.18,             27.60,                 1,              1
    663,2/23/2022, 21:50:30,            -19.38,                 1,             26.18,             27.58,                 1,              1
    664,2/23/2022, 21:50:40,            -19.38,                 1,             26.18,             27.58,                 1,              1
    665,2/23/2022, 21:50:50,            -19.38,                 1,             26.18,             27.60,                 1,              1
    666,2/23/2022, 21:51:00,            -20.38,                 1,             26.18,             27.60,                 1,              1
    667,2/23/2022, 21:51:10,            -19.38,                 1,             26.18,             27.60,                 1,              1
    668,2/23/2022, 21:51:20,            -20.38,                 1,             26.18,             27.58,                 1,              1
    669,2/23/2022, 21:51:30,            -19.38,                 1,             26.18,             27.60,                 1,              1
    670,2/23/2022, 21:51:40,            -19.38,                 1,             26.18,             27.60,                 1,              1
    671,2/23/2022, 21:51:50,            -18.38,                 1,             26.18,             27.60,                 1,              1
    672,2/23/2022, 21:52:00,            -18.38,                 1,             26.18,             27.60,                 1,              1
    673,2/23/2022, 21:52:10,            -19.38,                 1,             26.18,             27.58,                 1,              1
    674,2/23/2022, 21:52:20,            -19.38,                 1,             26.18,             27.60,                 1,              1
    675,2/23/2022, 21:52:30,            -19.38,                 1,             26.20,             27.60,                 1,              1
    676,2/23/2022, 21:52:40,            -19.38,                 1,             26.20,             27.58,                 1,              1
    677,2/23/2022, 21:52:50,            -19.38,                 1,             26.20,             27.60,                 1,              1
    678,2/23/2022, 21:53:00,            -19.38,                 1,             26.18,             27.60,                 1,              1
    679,2/23/2022, 21:53:10,            -19.38,                 1,             26.20,             27.60,                 1,              1
    680,2/23/2022, 21:53:20,            -19.38,                 1,             26.20,             27.60,                 1,              1
    681,2/23/2022, 21:53:30,            -20.38,                 1,             26.20,             27.60,                 1,              1
    682,2/23/2022, 21:53:40,            -19.38,                 1,             26.20,             27.60,                 1,              1
    683,2/23/2022, 21:53:50,            -19.38,                 1,             26.20,             27.60,                 1,              1
    684,2/23/2022, 21:54:00,            -20.38,                 1,             26.20,             27.60,                 1,              1
    685,2/23/2022, 21:54:10,            -19.38,                 1,             26.20,             27.60,                 1,              1
    686,2/23/2022, 21:54:20,            -19.38,                 1,             26.20,             27.60,                 1,              1
    687,2/23/2022, 21:54:30,            -19.38,                 1,             26.20,             27.60,                 1,              1
    688,2/23/2022, 21:54:40,            -19.38,                 1,             26.20,             27.60,                 1,              1
    689,2/23/2022, 21:54:50,            -19.38,                 1,             26.20,             27.60,                 1,              1
